Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
sun blast,Arcade,Нет описания,Все возрастные группы,Низкая,Нет данных
will rock,"Action, Shooter",Нет описания,Все возрастные группы,Низкая,Нет данных
wwf wrestlemania: the arcade game,"Arcade, Fighting",Нет описания,Все возрастные группы,Низкая,Нет данных
astro boy: edge of time,"Adventure, Strategy",Нет описания,Everyone,Низкая,Нет данных
super sports surgery,"Simulation, Casual, Indie",Нет описания,Everyone,Низкая,Нет данных
purgatory ii,"Adventure, Strategy, Indie",Нет описания,Everyone,Низкая,Нет данных
juanito arcade mayhem,"Action, Adventure, Casual, Indie",Нет описания,Everyone,Низкая,Нет данных
westboro,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
heileen 1: sail away,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
zombie pirates,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
the enlightened league of bone builders and the osseous enigma,"Adventure, Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
all zombies must die!: scorepocalypse,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
piñata,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
nicolas eymerich the inquisitor book ii: the village,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
tycoon city: new york,Simulation,Нет описания,Все возрастные группы,Средняя,Нет данных
the deletion,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
syndrome,"Action, Adventure",Нет описания,Mature,Средняя,Нет данных
unworthy,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
cuit,"Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
metal carnage,"Action, Racing, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
my lil' donut,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
brain challenge,"Casual, Educational, Puzzle",Нет описания,Everyone 10+,Средняя,Нет данных
one piece: pirate warriors,Action,Нет описания,Teen,Низкая,Нет данных
mimpi,"Adventure, Casual, Indie, Puzzle, Platformer",Нет описания,Everyone 10+,Низкая,Нет данных
lizards must die,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
freshwomen - season 1,"Adventure, Indie",Нет описания,Adults Only,Низкая,Нет данных
the pale beyond,"Adventure, RPG, Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
idle wasteland,"RPG, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
witches x warlocks,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
accident: the pilot,"Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
kingdoms reborn,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
world of warcraft classic,"RPG, Massively Multiplayer",Нет описания,Teen,Высокая,Нет данных
bombergrounds: battle royale,"Action, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
